year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2020,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3562,16031,20210622,TOTAL
2020,ALABAMA,AL,LAWRENCE,1079,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12322,16031,20210622,TOTAL
2020,ALABAMA,AL,LEE,1081,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,27860,71449,20210622,TOTAL
2020,ALABAMA,AL,LEE,1081,PRESIDENT,DONALD J TRUMP,REPUBLICAN,42221,71449,20210622,TOTAL
2020,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13672,49235,20210622,TOTAL
2020,ALABAMA,AL,LIMESTONE,1083,PRESIDENT,DONALD J TRUMP,REPUBLICAN,34640,49235,20210622,TOTAL
2020,ALABAMA,AL,LOWNDES,1085,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4972,6835,20210622,TOTAL
2020,ALABAMA,AL,LOWNDES,1085,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1836,6835,20210622,TOTAL
2020,ALABAMA,AL,MACON,1087,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7108,8723,20210622,TOTAL
2020,ALABAMA,AL,MACON,1087,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1541,8723,20210622,TOTAL
2020,ALABAMA,AL,MADISON,1089,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,87286,194767,20210622,TOTAL
2020,ALABAMA,AL,MADISON,1089,PRESIDENT,DONALD J TRUMP,REPUBLICAN,102780,194767,20210622,TOTAL
2020,ALABAMA,AL,MARENGO,1091,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5488,10900,20210622,TOTAL
2020,ALABAMA,AL,MARENGO,1091,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5343,10900,20210622,TOTAL
2020,ALABAMA,AL,MARION,1093,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1463,13807,20210622,TOTAL
2020,ALABAMA,AL,MARION,1093,PRESIDENT,DONALD J TRUMP,REPUBLICAN,12205,13807,20210622,TOTAL
2020,ALABAMA,AL,MARSHALL,1095,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5943,39655,20210622,TOTAL
2020,ALABAMA,AL,MARSHALL,1095,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33191,39655,20210622,TOTAL
2020,ALABAMA,AL,MOBILE,1097,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,79474,183164,20210622,TOTAL
2020,ALABAMA,AL,MOBILE,1097,PRESIDENT,DONALD J TRUMP,REPUBLICAN,101243,183164,20210622,TOTAL
2020,ALABAMA,AL,MONROE,1099,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4455,10668,20210622,TOTAL
2020,ALABAMA,AL,MONROE,1099,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6147,10668,20210622,TOTAL
2020,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,64529,99139,20210622,TOTAL
2020,ALABAMA,AL,MONTGOMERY,1101,PRESIDENT,DONALD J TRUMP,REPUBLICAN,33311,99139,20210622,TOTAL
2020,ALABAMA,AL,MORGAN,1103,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13234,53722,20210622,TOTAL
2020,ALABAMA,AL,MORGAN,1103,PRESIDENT,DONALD J TRUMP,REPUBLICAN,39664,53722,20210622,TOTAL
2020,ALABAMA,AL,PERRY,1105,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3860,5230,20210622,TOTAL
2020,ALABAMA,AL,PERRY,1105,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1339,5230,20210622,TOTAL
2020,ALABAMA,AL,PICKENS,1107,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4022,9668,20210622,TOTAL
2020,ALABAMA,AL,PICKENS,1107,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5594,9668,20210622,TOTAL
2020,ALABAMA,AL,PIKE,1109,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5636,13841,20210622,TOTAL
2020,ALABAMA,AL,PIKE,1109,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8042,13841,20210622,TOTAL
2020,ALABAMA,AL,RANDOLPH,1111,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2203,10837,20210622,TOTAL
2020,ALABAMA,AL,RANDOLPH,1111,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8559,10837,20210622,TOTAL
2020,ALABAMA,AL,RUSSELL,1113,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,11228,21329,20210622,TOTAL
2020,ALABAMA,AL,RUSSELL,1113,PRESIDENT,DONALD J TRUMP,REPUBLICAN,9864,21329,20210622,TOTAL
2020,ALABAMA,AL,ST. CLAIR,1115,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7744,44441,20210622,TOTAL
2020,ALABAMA,AL,ST. CLAIR,1115,PRESIDENT,DONALD J TRUMP,REPUBLICAN,36166,44441,20210622,TOTAL
2020,ALABAMA,AL,SHELBY,1117,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,33268,114950,20210622,TOTAL
2020,ALABAMA,AL,SHELBY,1117,PRESIDENT,DONALD J TRUMP,REPUBLICAN,79700,114950,20210622,TOTAL
2020,ALABAMA,AL,SUMTER,1119,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4648,6291,20210622,TOTAL
2020,ALABAMA,AL,SUMTER,1119,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1598,6291,20210622,TOTAL
2020,ALABAMA,AL,TALLADEGA,1121,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,13138,35663,20210622,TOTAL
2020,ALABAMA,AL,TALLADEGA,1121,PRESIDENT,DONALD J TRUMP,REPUBLICAN,22235,35663,20210622,TOTAL
2020,ALABAMA,AL,TALLAPOOSA,1123,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5859,20991,20210622,TOTAL
2020,ALABAMA,AL,TALLAPOOSA,1123,PRESIDENT,DONALD J TRUMP,REPUBLICAN,14963,20991,20210622,TOTAL
2020,ALABAMA,AL,TUSCALOOSA,1125,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,37765,90172,20210622,TOTAL
2020,ALABAMA,AL,TUSCALOOSA,1125,PRESIDENT,DONALD J TRUMP,REPUBLICAN,51117,90172,20210622,TOTAL
2020,ALABAMA,AL,WALKER,1127,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4834,31170,20210622,TOTAL
2020,ALABAMA,AL,WALKER,1127,PRESIDENT,DONALD J TRUMP,REPUBLICAN,26002,31170,20210622,TOTAL
2020,ALABAMA,AL,WASHINGTON,1129,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2258,8876,20210622,TOTAL
2020,ALABAMA,AL,WASHINGTON,1129,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6564,8876,20210622,TOTAL
2020,ALABAMA,AL,WILCOX,1131,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4048,5903,20210622,TOTAL
2020,ALABAMA,AL,WILCOX,1131,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1833,5903,20210622,TOTAL
2020,ALABAMA,AL,WINSTON,1133,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,974,11284,20210622,TOTAL
2020,ALABAMA,AL,WINSTON,1133,PRESIDENT,DONALD J TRUMP,REPUBLICAN,10195,11284,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 1,2001,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3477,7314,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 1,2001,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3511,7314,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 2,2002,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2104,6136,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 2,2002,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3674,6136,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 3,2003,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1903,8385,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 3,2003,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6076,8385,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 4,2004,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5345,10511,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 4,2004,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4690,10511,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 5,2005,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4204,8654,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 5,2005,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4077,8654,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 6,2006,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3272,9460,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 6,2006,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5770,9460,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 7,2007,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2215,9622,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 7,2007,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7027,9622,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 8,2008,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,1953,9912,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 8,2008,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7618,9912,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 9,2009,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2769,10993,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 9,2009,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7787,10993,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 10,2010,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2727,11205,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 10,2010,PRESIDENT,DONALD J TRUMP,REPUBLICAN,8081,11205,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 11,2011,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3130,10628,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 11,2011,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7096,10628,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 12,2012,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2957,11238,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 12,2012,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7893,11238,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 13,2013,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2666,7713,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 13,2013,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4652,7713,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 14,2014,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4261,11443,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 14,2014,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6714,11443,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 15,2015,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2622,5559,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 15,2015,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2671,5559,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 16,2016,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4274,8118,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 16,2016,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3516,8118,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 17,2017,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4136,7239,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 17,2017,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2810,7239,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 18,2018,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4681,7720,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 18,2018,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2760,7720,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 19,2019,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3118,5301,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 19,2019,PRESIDENT,DONALD J TRUMP,REPUBLICAN,1975,5301,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 20,2020,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4881,7497,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 20,2020,PRESIDENT,DONALD J TRUMP,REPUBLICAN,2383,7497,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 21,2021,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5414,9429,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 21,2021,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3690,9429,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 22,2022,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4553,9520,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 22,2022,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4684,9520,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 23,2023,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3810,7739,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 23,2023,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3655,7739,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 24,2024,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4736,10428,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 24,2024,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5378,10428,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 25,2025,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4600,9325,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 25,2025,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4407,9325,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 26,2026,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4558,10111,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 26,2026,PRESIDENT,DONALD J TRUMP,REPUBLICAN,5243,10111,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 27,2027,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,4844,9506,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 27,2027,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4324,9506,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 28,2028,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,6264,12749,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 28,2028,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6162,12749,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 29,2029,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2985,10747,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 29,2029,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7464,10747,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 30,2030,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,2638,10176,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 30,2030,PRESIDENT,DONALD J TRUMP,REPUBLICAN,7180,10176,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 31,2031,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,5037,12410,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 31,2031,PRESIDENT,DONALD J TRUMP,REPUBLICAN,6971,12410,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 32,2032,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,3506,8335,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 32,2032,PRESIDENT,DONALD J TRUMP,REPUBLICAN,4440,8335,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 33,2033,PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,7535,10955,20210622,TOTAL
2020,ALASKA,AK,DISTRICT 33,2033,PRESIDENT,DONALD J TRUMP,REPUBLICAN,3059,10955,20210622,TOTAL
