,match_col
618,Cass County
619,Champaign County
620,Christian County
621,Clark County
622,Clay County
623,Clinton County
624,Coles County
625,Cook County
626,Crawford County
627,Cumberland County
628,DeKalb County
629,De Witt County
630,Douglas County
631,DuPage County
632,Edgar County
633,Edwards County
634,Effingham County
635,Fayette County
636,Ford County
637,Franklin County
638,Fulton County
639,Gallatin County
640,Greene County
641,Grundy County
642,Hamilton County
643,Hancock County
644,Hardin County
645,Henderson County
646,Henry County
647,Iroquois County
648,Jackson County
649,Jasper County
650,Jefferson County
651,Jersey County
652,Jo Daviess County
653,Johnson County
654,Kane County
655,Kankakee County
656,Kendall County
657,Knox County
658,Lake County
659,LaSalle County
660,Lawrence County
661,Lee County
662,Livingston County
663,Logan County
664,McDonough County
665,McHenry County
666,McLean County
667,Macon County
668,Macoupin County
669,Madison County
670,Marion County
671,Marshall County
672,Mason County
673,Massac County
674,Menard County
675,Mercer County
676,Monroe County
677,Montgomery County
678,Morgan County
679,Moultrie County
680,Ogle County
681,Peoria County
682,Perry County
683,Piatt County
684,Pike County
685,Pope County
686,Pulaski County
687,Putnam County
688,Randolph County
689,Richland County
690,Rock Island County
691,St. Clair County
692,Saline County
693,Sangamon County
694,Schuyler County
695,Scott County
696,Shelby County
697,Stark County
698,Stephenson County
699,Tazewell County
700,Union County
701,Vermilion County
702,Wabash County
703,Warren County
704,Washington County
705,Wayne County
706,White County
707,Whiteside County
708,Will County
709,Williamson County
710,Winnebago County
711,Woodford County
712,Indiana
713,Adams County
714,Allen County
715,Bartholomew County
716,Benton County
717,Blackford County
718,Boone County
719,Brown County
720,Carroll County
721,Cass County
722,Clark County
723,Clay County
724,Clinton County
725,Crawford County
726,Daviess County
727,Dearborn County
728,Decatur County
729,DeKalb County
730,Delaware County
731,Dubois County
732,Elkhart County
733,Fayette County
734,Floyd County
735,Fountain County
736,Franklin County
737,Fulton County
738,Gibson County
739,Grant County
740,Greene County
741,Hamilton County
742,Hancock County
743,Harrison County
744,Hendricks County
745,Henry County
746,Howard County
747,Huntington County
748,Jackson County
749,Jasper County
750,Jay County
751,Jefferson County
752,Jennings County
753,Johnson County
754,Knox County
755,Kosciusko County
756,LaGrange County
757,Lake County
758,LaPorte County
759,Lawrence County
760,Madison County
761,Marion County
762,Marshall County
763,Martin County
764,Miami County
765,Monroe County
766,Montgomery County
767,Morgan County
768,Newton County
769,Noble County
770,Ohio County
771,Orange County
772,Owen County
773,Parke County
774,Perry County
775,Pike County
776,Porter County
777,Posey County
778,Pulaski County
779,Putnam County
780,Randolph County
781,Ripley County
782,Rush County
783,St. Joseph County
784,Scott County
785,Shelby County
786,Spencer County
787,Starke County
788,Steuben County
789,Sullivan County
790,Switzerland County
791,Tippecanoe County
792,Tipton County
793,Union County
794,Vanderburgh County
795,Vermillion County
796,Vigo County
797,Wabash County
798,Warren County
799,Warrick County
800,Washington County
801,Wayne County
802,Wells County
803,White County
804,Whitley County
805,Iowa
806,Adair County
807,Adams County
808,Allamakee County
809,Appanoose County
810,Audubon County
811,Benton County
812,Black Hawk County
813,Boone County
814,Bremer County
815,Buchanan County
816,Buena Vista County
817,Butler County
818,Calhoun County
819,Carroll County
820,Cass County
821,Cedar County
822,Cerro Gordo County
823,Cherokee County
824,Chickasaw County
825,Clarke County
826,Clay County
827,Clayton County
828,Clinton County
829,Crawford County
830,Dallas County
831,Davis County
832,Decatur County
833,Delaware County
834,Des Moines County
835,Dickinson County
836,Dubuque County
837,Emmet County
838,Fayette County
839,Floyd County
840,Franklin County
841,Fremont County
842,Greene County
843,Grundy County
844,Guthrie County
845,Hamilton County
846,Hancock County
847,Hardin County
848,Harrison County
849,Henry County
850,Howard County
851,Humboldt County
852,Ida County
853,Iowa County
854,Jackson County
855,Jasper County
856,Jefferson County
857,Johnson County
858,Jones County
859,Keokuk County
860,Kossuth County
861,Lee County
862,Linn County
863,Louisa County
864,Lucas County
865,Lyon County
866,Madison County
867,Mahaska County
868,Marion County
