,Lat,Long_,vaccine_doses_administered_in_state,white_pop,black_pop,asian_pop,hisp_pop,Population,pop per sq mi,democrat_votes,republican_votes,democrat_percent,republican_percent,confirmed_cases
1383,47.71701474,-98.90432337,413386.0,2117.0,16.0,10.0,99.0,2287.0,3.8,383.0,854.0,30.37272006344171,67.72402854877082,462.0
1384,46.28398398,-100.2389766,413386.0,3123.0,8.0,14.0,37.0,3241.0,2.4,237.0,1738.0,11.79691388750622,86.51070184171229,409.0
1385,47.4571084,-98.88279923,413386.0,3102.0,16.0,12.0,74.0,3210.0,5.3,373.0,1362.0,20.97862767154106,76.6029246344207,571.0
1386,46.94022281,-103.8465421,413386.0,1692.0,14.0,2.0,59.0,1761.0,1.7,137.0,871.0,13.352826510721249,84.89278752436647,254.0
1387,47.92093639,-97.45450447,413386.0,60275.0,3632.0,2050.0,3248.0,69451.0,46.5,12880.0,16987.0,41.58863416209235,54.84985469809494,10082.0
1388,46.35821257,-101.6390013,413386.0,2173.0,4.0,4.0,33.0,2274.0,1.4,207.0,1145.0,14.98913830557567,82.91093410572049,191.0
1389,47.45785838,-98.23850925,413386.0,2193.0,12.0,4.0,29.0,2231.0,3.4,308.0,907.0,24.64,72.56,308.0
1390,46.43375068,-102.4632417,413386.0,2321.0,14.0,2.0,69.0,2499.0,2.2,196.0,1091.0,14.9390243902439,83.15548780487805,322.0
1391,46.97830064,-99.77507857,413386.0,2410.0,10.0,18.0,117.0,2480.0,1.8,221.0,1215.0,15.136986301369864,83.21917808219177,258.0
1392,46.45681054,-98.53542355,413386.0,3966.0,20.0,4.0,69.0,4046.0,3.6,527.0,1645.0,23.749436683190623,74.13249211356468,505.0
1393,46.45729487,-99.47719806,413386.0,1788.0,4.0,6.0,48.0,1850.0,2.0,128.0,930.0,11.895910780669144,86.43122676579925,225.0
1394,48.23104458,-100.6324822,413386.0,5583.0,18.0,14.0,114.0,5745.0,2.9,564.0,2364.0,18.78121878121878,78.72127872127872,617.0
1395,46.11182017,-99.44145858,413386.0,2411.0,12.0,8.0,65.0,2497.0,2.9,261.0,1153.0,17.938144329896907,79.24398625429554,326.0
